composerName,readableComposerName,composerLastName,composerFirstName,musicPiece,itemCode,pieceURL,movieYear,movieTitle
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Cello Suite No. 2 in D minor, BWV 1008: IV. Sarabande",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,1961,Through a Glass Darkly 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Toccata and Fugue in D minor, BWV 565",8.553859,https://www.naxos.com/catalogue/item.asp?item_code=8.553859,1968,Barbarella 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Toccata and Fugue in D minor, BWV 565",8.553859,https://www.naxos.com/catalogue/item.asp?item_code=8.553859,1968,Barbarella 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Anna Magdalena Notenbuch (Clavier-Buchlein III): Bist du bei mir, BWV 508 (attrib. G.H. Stolzel)",8.553751,https://www.naxos.com/catalogue/item.asp?item_code=8.553751,1970,Gotter der Pest (Gods of the Plague) 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Anna Magdalena Notenbuch (Clavier-Buchlein III): Bist du bei mir, BWV 508 (attrib. G.H. Stolzel)",8.553751,https://www.naxos.com/catalogue/item.asp?item_code=8.553751,1970,Gotter der Pest (Gods of the Plague) 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Harpsichord Concerto in D major, BWV 1054",8.550422,https://www.naxos.com/catalogue/item.asp?item_code=8.550422,1970,Love Story 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Harpsichord Concerto in D major, BWV 1054",8.550422,https://www.naxos.com/catalogue/item.asp?item_code=8.550422,1970,Love Story 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"St. Matthew Passion, BWV 244: Kommt, ihr Tochter, helft mir klagen!",8.550832-34,https://www.naxos.com/catalogue/item.asp?item_code=8.550832-34,1971,THX 1138 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"St. Matthew Passion, BWV 244: Kommt, ihr Tochter, helft mir klagen!",8.550832-34,https://www.naxos.com/catalogue/item.asp?item_code=8.550832-34,1971,THX 1138 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Harpsichord Concerto in F minor, BWV 1056: II. Largo",8.550423,https://www.naxos.com/catalogue/item.asp?item_code=8.550423,1972,Slaughterhouse Five 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Harpsichord Concerto in F minor, BWV 1056: II. Largo",8.550423,https://www.naxos.com/catalogue/item.asp?item_code=8.550423,1972,Slaughterhouse Five 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Brandenburg Concerto No. 4 in G major, BWV 1049: III. Presto",8.554608,https://www.naxos.com/catalogue/item.asp?item_code=8.554608,1972,Slaughterhouse Five 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Brandenburg Concerto No. 4 in G major, BWV 1049: III. Presto",8.554608,https://www.naxos.com/catalogue/item.asp?item_code=8.554608,1972,Slaughterhouse Five 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Cello Suite No. 5 in C minor, BWV 1011: IV. Sarabande",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,1972,Cries and Whispers 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Cello Suite No. 5 in C minor, BWV 1011: IV. Sarabande",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,1972,Cries and Whispers 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Goldberg Variations, BWV 988: Variation 15",8.550078,https://www.naxos.com/catalogue/item.asp?item_code=8.550078,1974,"Terminal Man, The "
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Goldberg Variations, BWV 988: Variation 15",8.550078,https://www.naxos.com/catalogue/item.asp?item_code=8.550078,1974,"Terminal Man, The "
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Toccata and Fugue in D minor, BWV 565",8.553859,https://www.naxos.com/catalogue/item.asp?item_code=8.553859,1975,Rollerball 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Concerto for 2 Harpsichords in C minor, BWV 1060: II. Largo ovvero adagio",8.554606,https://www.naxos.com/catalogue/item.asp?item_code=8.554606,1975,Barry Lyndon 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Concerto for 2 Harpsichords in C minor, BWV 1060: II. Largo ovvero adagio",8.554606,https://www.naxos.com/catalogue/item.asp?item_code=8.554606,1975,Barry Lyndon 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Toccata and Fugue in D minor, BWV 565",8.553859,https://www.naxos.com/catalogue/item.asp?item_code=8.553859,1975,Rollerball 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Brandenburg Concerto No. 6 in B-flat major, BWV 1051 : III. Allegro",8.554607,https://www.naxos.com/catalogue/item.asp?item_code=8.554607,1977,"Bridge Too Far, A "
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Brandenburg Concerto No. 6 in B-flat major, BWV 1051 : III. Allegro",8.554607,https://www.naxos.com/catalogue/item.asp?item_code=8.554607,1977,"Bridge Too Far, A "
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Overture (Suite) No. 3 in D major, BWV 1068: II. Air",8.550245,https://www.naxos.com/catalogue/item.asp?item_code=8.550245,1977,"Spy Who Loved Me, The "
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Overture (Suite) No. 3 in D major, BWV 1068: II. Air",8.550245,https://www.naxos.com/catalogue/item.asp?item_code=8.550245,1977,"Spy Who Loved Me, The "
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Cello Suite No. 4 in E-flat major, BWV 1010: IV. Sarabande",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,1978,Autumn Sonata 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Cello Suite No. 4 in E-flat major, BWV 1010: IV. Sarabande",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,1978,Autumn Sonata 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Toccata and Fugue in D minor, BWV 565",8.553859,https://www.naxos.com/catalogue/item.asp?item_code=8.553859,1981,"French Lieutenant's Woman, The "
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Toccata and Fugue in D minor, BWV 565",8.553859,https://www.naxos.com/catalogue/item.asp?item_code=8.553859,1981,"French Lieutenant's Woman, The "
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Partita No. 4 in D major, BWV 828: III. Courante",8.550693,https://www.naxos.com/catalogue/item.asp?item_code=8.550693,1983,Exposed 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Partita No. 4 in D major, BWV 828: III. Courante",8.550693,https://www.naxos.com/catalogue/item.asp?item_code=8.550693,1983,Exposed 
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Violin Partita No. 3 in E major, BWV 1006: III. Gavotte en rondeau",8.570277-78,https://www.naxos.com/catalogue/item.asp?item_code=8.570277-78,1983,"Hunger, The "
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Violin Partita No. 3 in E major, BWV 1006: III. Gavotte en rondeau",8.570277-78,https://www.naxos.com/catalogue/item.asp?item_code=8.570277-78,1983,"Hunger, The "
"BACH, JOHANN SEBASTIAN",Johann Sebastian Bach,Bach, Johann Sebastian,"Overture (Suite) No. 3 in D major, BWV 1068",8.554609,https://www.naxos.com/catalogue/item.asp?item_code=8.554609,1984,Beyond Utopia 
